,Student ID,student_name,gender,grade,school_name,reading_score,math_score,School ID,type,size,budget
195,195,Brandy Marshall,F,11th,Huang High School,86,60,0,District,2917,1910635
196,196,Ryan Jimenez,M,11th,Huang High School,63,89,0,District,2917,1910635
197,197,Michael Chan,M,9th,Huang High School,63,69,0,District,2917,1910635
198,198,Christopher Phillips,M,9th,Huang High School,86,55,0,District,2917,1910635
199,199,Kevin Murphy,M,10th,Huang High School,85,99,0,District,2917,1910635
200,200,Vanessa Harper,F,12th,Huang High School,85,85,0,District,2917,1910635
201,201,James Ferguson,M,9th,Huang High School,96,66,0,District,2917,1910635
202,202,Carol Schroeder,F,12th,Huang High School,83,61,0,District,2917,1910635
203,203,Jerry Phillips,M,10th,Huang High School,82,72,0,District,2917,1910635
204,204,Kristin Wade,F,9th,Huang High School,71,56,0,District,2917,1910635
205,205,Jessica Warner,F,11th,Huang High School,94,83,0,District,2917,1910635
206,206,Dorothy Burke,F,11th,Huang High School,91,92,0,District,2917,1910635
207,207,Bethany Walter,F,9th,Huang High School,88,76,0,District,2917,1910635
208,208,Melissa Avery,F,9th,Huang High School,83,86,0,District,2917,1910635
209,209,Daniel Sutton,M,11th,Huang High School,86,96,0,District,2917,1910635
210,210,Ryan Johnson,M,9th,Huang High School,63,79,0,District,2917,1910635
211,211,Timothy Quinn,M,10th,Huang High School,83,76,0,District,2917,1910635
212,212,Zachary Allen,M,10th,Huang High School,64,87,0,District,2917,1910635
213,213,Lauren Schmitt,F,12th,Huang High School,71,61,0,District,2917,1910635
214,214,Stephanie Armstrong,F,11th,Huang High School,70,66,0,District,2917,1910635
215,215,Ruben Rivera,M,9th,Huang High School,65,79,0,District,2917,1910635
216,216,Patricia Petty,F,12th,Huang High School,79,98,0,District,2917,1910635
217,217,Joseph Jacobs,M,11th,Huang High School,96,68,0,District,2917,1910635
218,218,Bianca Wilson,F,11th,Huang High School,66,62,0,District,2917,1910635
219,219,Donald Perez,M,9th,Huang High School,87,79,0,District,2917,1910635
220,220,Curtis Gomez,M,9th,Huang High School,77,77,0,District,2917,1910635
221,221,Courtney Brown,F,9th,Huang High School,90,88,0,District,2917,1910635
222,222,Nicole Randall,F,9th,Huang High School,94,78,0,District,2917,1910635
223,223,Steven Lambert,M,11th,Huang High School,64,56,0,District,2917,1910635
224,224,Anthony Alvarez,M,10th,Huang High School,93,90,0,District,2917,1910635
225,225,Shawn Farrell,M,10th,Huang High School,89,87,0,District,2917,1910635
226,226,Jesus Schmidt,M,9th,Huang High School,80,76,0,District,2917,1910635
227,227,Laura Wright,F,12th,Huang High School,89,69,0,District,2917,1910635
228,228,Steven Smith,M,11th,Huang High School,66,65,0,District,2917,1910635
229,229,Norman Thompson,M,9th,Huang High School,99,78,0,District,2917,1910635
230,230,Anthony Wright,M,10th,Huang High School,76,64,0,District,2917,1910635
231,231,Kayla Watts,F,11th,Huang High School,74,89,0,District,2917,1910635
232,232,Aimee Johnson,F,9th,Huang High School,97,55,0,District,2917,1910635
233,233,Heidi Scott,F,12th,Huang High School,77,98,0,District,2917,1910635
234,234,Anthony Williams,M,10th,Huang High School,78,93,0,District,2917,1910635
235,235,Sarah Hill,F,12th,Huang High School,88,97,0,District,2917,1910635
236,236,Kim Wang,F,9th,Huang High School,90,71,0,District,2917,1910635
237,237,Beth Manning,F,11th,Huang High School,88,92,0,District,2917,1910635
238,238,Ryan Hanson,M,12th,Huang High School,87,83,0,District,2917,1910635
239,239,James Wood,M,9th,Huang High School,70,81,0,District,2917,1910635
240,240,Corey Greene,M,10th,Huang High School,70,94,0,District,2917,1910635
241,241,John Carter,M,11th,Huang High School,95,83,0,District,2917,1910635
242,242,Beth Garza,F,11th,Huang High School,75,92,0,District,2917,1910635
243,243,Karen Jones,F,9th,Huang High School,78,96,0,District,2917,1910635
244,244,Stephanie Poole,F,10th,Huang High School,95,59,0,District,2917,1910635
245,245,Lisa Brown,F,9th,Huang High School,99,72,0,District,2917,1910635
246,246,Paul Scott,M,10th,Huang High School,64,78,0,District,2917,1910635
247,247,Evelyn Buck,F,10th,Huang High School,68,60,0,District,2917,1910635
248,248,Terry Harrell,M,9th,Huang High School,86,69,0,District,2917,1910635
249,249,Leah Skinner,F,11th,Huang High School,70,79,0,District,2917,1910635
250,250,Anthony Mercado,M,11th,Huang High School,95,97,0,District,2917,1910635
251,251,Walter Kelly,M,9th,Huang High School,80,78,0,District,2917,1910635
252,252,Lori Evans,F,10th,Huang High School,99,66,0,District,2917,1910635
253,253,Ashley Jones,F,12th,Huang High School,96,72,0,District,2917,1910635
254,254,Amber Soto,F,9th,Huang High School,82,60,0,District,2917,1910635
255,255,Patrick Phillips,M,10th,Huang High School,64,62,0,District,2917,1910635
256,256,Linda Curry,F,11th,Huang High School,74,76,0,District,2917,1910635
257,257,Alexander Obrien,M,10th,Huang High School,68,90,0,District,2917,1910635
258,258,Vincent Garza,M,10th,Huang High School,97,61,0,District,2917,1910635
259,259,Terry Marsh,M,11th,Huang High School,99,69,0,District,2917,1910635
260,260,Angela Perkins DVM,F,11th,Huang High School,76,56,0,District,2917,1910635
261,261,Peter Hampton,M,9th,Huang High School,83,97,0,District,2917,1910635
262,262,David Cross,M,11th,Huang High School,68,61,0,District,2917,1910635
263,263,Clinton Ortega,M,10th,Huang High School,93,62,0,District,2917,1910635
264,264,Jamie Escobar,F,10th,Huang High School,91,91,0,District,2917,1910635
265,265,Sandra Mason,F,12th,Huang High School,76,83,0,District,2917,1910635
266,266,Craig Cole,M,12th,Huang High School,83,92,0,District,2917,1910635
267,267,Lisa Warren,F,12th,Huang High School,70,81,0,District,2917,1910635
268,268,Maria Howard,F,9th,Huang High School,74,91,0,District,2917,1910635
269,269,Michael Porter,M,11th,Huang High School,86,68,0,District,2917,1910635
270,270,John Turner,M,11th,Huang High School,78,99,0,District,2917,1910635
271,271,Timothy Wang,M,12th,Huang High School,93,75,0,District,2917,1910635
272,272,Amanda Taylor,F,9th,Huang High School,73,58,0,District,2917,1910635
273,273,Karen Mckenzie,F,9th,Huang High School,82,64,0,District,2917,1910635
274,274,Brandon Miles,M,11th,Huang High School,98,76,0,District,2917,1910635
275,275,Christina Whitaker,F,12th,Huang High School,86,89,0,District,2917,1910635
276,276,Nicole Peterson,F,9th,Huang High School,78,98,0,District,2917,1910635
277,277,Ashley Moore,F,9th,Huang High School,67,74,0,District,2917,1910635
278,278,Todd Carrillo,M,10th,Huang High School,80,99,0,District,2917,1910635
279,279,Robert Williams,M,10th,Huang High School,63,68,0,District,2917,1910635
280,280,Ashley Jones,F,9th,Huang High School,92,72,0,District,2917,1910635
281,281,Vanessa Parker,F,9th,Huang High School,67,78,0,District,2917,1910635
282,282,Robert Carlson,M,12th,Huang High School,73,82,0,District,2917,1910635
283,283,Jared Lewis,M,10th,Huang High School,77,56,0,District,2917,1910635
284,284,Christopher Hernandez,M,10th,Huang High School,92,64,0,District,2917,1910635
285,285,Kimberly Harris,F,9th,Huang High School,66,59,0,District,2917,1910635
286,286,Katrina Hill,F,10th,Huang High School,73,73,0,District,2917,1910635
287,287,Heather Lee,F,9th,Huang High School,71,69,0,District,2917,1910635
288,288,Donald Harmon,M,11th,Huang High School,63,67,0,District,2917,1910635
289,289,Elizabeth Sanders,F,10th,Huang High School,82,64,0,District,2917,1910635
290,290,Richard Ramsey,M,12th,Huang High School,80,60,0,District,2917,1910635
291,291,Carmen Johnson,F,12th,Huang High School,89,79,0,District,2917,1910635
292,292,Elaine Osborne,F,10th,Huang High School,91,69,0,District,2917,1910635
293,293,Kent Burns,M,9th,Huang High School,81,72,0,District,2917,1910635
294,294,Meagan Smith,F,11th,Huang High School,67,87,0,District,2917,1910635
295,295,Craig Hahn,M,9th,Huang High School,92,73,0,District,2917,1910635
296,296,Jeremy Wu,M,11th,Huang High School,72,81,0,District,2917,1910635
297,297,Aaron Rodriguez,M,11th,Huang High School,75,78,0,District,2917,1910635
298,298,Matthew Taylor,M,10th,Huang High School,64,63,0,District,2917,1910635
299,299,Diana Evans,F,11th,Huang High School,96,94,0,District,2917,1910635
300,300,Michele Pearson,F,12th,Huang High School,89,98,0,District,2917,1910635
301,301,Erik Wagner,M,12th,Huang High School,92,61,0,District,2917,1910635
302,302,Maria Welch,F,12th,Huang High School,74,97,0,District,2917,1910635
303,303,Debra Martin,F,12th,Huang High School,68,55,0,District,2917,1910635
304,304,Devon Conner,M,9th,Huang High School,91,89,0,District,2917,1910635
305,305,Christine Patel,F,9th,Huang High School,99,94,0,District,2917,1910635
306,306,David Lopez,M,9th,Huang High School,95,95,0,District,2917,1910635
307,307,Nathan Baird,M,11th,Huang High School,68,59,0,District,2917,1910635
308,308,Samuel Castillo,M,11th,Huang High School,98,57,0,District,2917,1910635
309,309,Rebecca Payne,F,11th,Huang High School,77,66,0,District,2917,1910635
310,310,Carl Johnson,M,10th,Huang High School,64,95,0,District,2917,1910635
311,311,William Adams,M,12th,Huang High School,85,82,0,District,2917,1910635
312,312,Paula Harrison,F,11th,Huang High School,81,91,0,District,2917,1910635
313,313,Wayne Atkinson,M,11th,Huang High School,86,63,0,District,2917,1910635
314,314,Lindsay Frank,F,9th,Huang High School,92,66,0,District,2917,1910635
315,315,Jose Garcia,M,10th,Huang High School,67,84,0,District,2917,1910635
316,316,Andrew Gaines,M,12th,Huang High School,68,87,0,District,2917,1910635
317,317,Rachael Liu,F,10th,Huang High School,77,79,0,District,2917,1910635
318,318,Donald Lewis,M,11th,Huang High School,72,72,0,District,2917,1910635
319,319,Shane Edwards,M,9th,Huang High School,74,59,0,District,2917,1910635
320,320,Todd Levy,M,12th,Huang High School,91,94,0,District,2917,1910635
321,321,Joanna Moore,F,10th,Huang High School,84,66,0,District,2917,1910635
322,322,Michael Lewis,M,9th,Huang High School,98,90,0,District,2917,1910635
323,323,James Robinson,M,9th,Huang High School,91,60,0,District,2917,1910635
324,324,Jeffrey Arellano,M,9th,Huang High School,89,87,0,District,2917,1910635
325,325,Heather Allen MD,F,11th,Huang High School,96,94,0,District,2917,1910635
326,326,Lori Villarreal,F,9th,Huang High School,66,81,0,District,2917,1910635
327,327,Robert Harper,M,12th,Huang High School,78,85,0,District,2917,1910635
328,328,Karen Villegas,F,9th,Huang High School,76,57,0,District,2917,1910635
329,329,Tracey Crane,F,9th,Huang High School,77,97,0,District,2917,1910635
330,330,Elizabeth Allen,F,9th,Huang High School,73,77,0,District,2917,1910635
331,331,Jorge Lynn,M,11th,Huang High School,93,66,0,District,2917,1910635
332,332,Harold Gordon,M,11th,Huang High School,98,66,0,District,2917,1910635
333,333,Nicholas Mcclain,M,9th,Huang High School,76,90,0,District,2917,1910635
334,334,Tanya Harris,F,11th,Huang High School,85,86,0,District,2917,1910635
335,335,Amy Smith,F,12th,Huang High School,93,93,0,District,2917,1910635
336,336,Kathy Morse,F,11th,Huang High School,64,91,0,District,2917,1910635
337,337,Andrea Wood,F,10th,Huang High School,77,70,0,District,2917,1910635
338,338,Maureen Massey,F,9th,Huang High School,98,76,0,District,2917,1910635
339,339,Daniel Smith,M,11th,Huang High School,66,81,0,District,2917,1910635
340,340,Alexandra Smith,F,11th,Huang High School,78,77,0,District,2917,1910635
341,341,Caitlin Hall,F,11th,Huang High School,72,58,0,District,2917,1910635
342,342,Jose Carlson,M,11th,Huang High School,90,91,0,District,2917,1910635
343,343,Deborah Macias,F,9th,Huang High School,90,87,0,District,2917,1910635
344,344,Dwayne Rice,M,11th,Huang High School,99,78,0,District,2917,1910635
345,345,Matthew Harris,M,10th,Huang High School,69,80,0,District,2917,1910635
346,346,Eric Bowman,M,9th,Huang High School,80,94,0,District,2917,1910635
347,347,Samuel Ali,M,9th,Huang High School,66,91,0,District,2917,1910635
348,348,David Miller,M,12th,Huang High School,70,92,0,District,2917,1910635
349,349,James Moreno,M,11th,Huang High School,89,63,0,District,2917,1910635
350,350,Brooke Austin,F,11th,Huang High School,78,98,0,District,2917,1910635
351,351,Alisha Martin,F,10th,Huang High School,65,68,0,District,2917,1910635
352,352,Neil Rodriguez,M,10th,Huang High School,98,69,0,District,2917,1910635
353,353,Gary Williams,M,10th,Huang High School,73,56,0,District,2917,1910635
354,354,Michael Pittman,M,12th,Huang High School,89,60,0,District,2917,1910635
355,355,Stephanie Palmer,F,10th,Huang High School,85,91,0,District,2917,1910635
356,356,Christine Perry,F,11th,Huang High School,92,97,0,District,2917,1910635
357,357,Suzanne David,F,10th,Huang High School,83,62,0,District,2917,1910635
358,358,Amber Smith,F,12th,Huang High School,82,75,0,District,2917,1910635
359,359,Ryan Jones,M,9th,Huang High School,94,62,0,District,2917,1910635
360,360,Emily Ford,F,9th,Huang High School,79,61,0,District,2917,1910635
361,361,Kelsey Shea,F,12th,Huang High School,85,66,0,District,2917,1910635
